timestamp,W1 (m),W2 (m),W3 (m),W4 (m),W5 (m),L1 (m),L2 (m),L3 (m),L4 (m),L5 (m),Vdd (V),Vi (V),Vin1_dc (V),Vin2_dc (V),Vin1_ac (V),Vin2_ac (V),gain_db,bandwidth (Hz),phase_margin,region5,Fom,SR,PSRR,CMRR,fit_b0,fit_b1,fit_b2,fit_a1,fit_a2
five_stage_amp_20250523_222057.raw,4.32e-06,4.32e-06,5.2e-06,5.2e-06,5.98e-06,9e-08,9e-08,2.1e-07,2.1e-07,1.8e-07,1.2,0.99,0.6,0.6,0.005,-0.005,21.46067440840381,63095734.4480211,89.52088414145295,0.0005784457716955203,2340888428623.249,264908564.4426684,18.96183766580603,-0.1229505125434606,11.831738600721675,-5.9854713189850425e-09,9.033050011934231e-20,2.041361860685986e-09,-1.2345124408911209e-18
five_stage_amp_20250523_222059.raw,4.58e-06,4.58e-06,6e-06,6e-06,5.36e-06,6.000000000000001e-08,6.000000000000001e-08,1.8e-07,1.8e-07,2.4000000000000003e-07,1.2,0.96,0.47000000000000003,0.47000000000000003,0.036000000000000004,-0.036000000000000004,18.694023526697038,87096358.99561055,92.64055436906746,0.0004421199998352971,3682668471817.925,259856934.0057745,17.39466200418639,-2.88960139425539,8.604294624007226,-6.043733493626516e-09,7.388077660941498e-20,1.156238370568104e-09,-1.270652277843182e-18
five_stage_amp_20250523_222100.raw,7.7e-07,7.7e-07,2.5400000000000002e-06,2.5400000000000002e-06,2.92e-06,1.9e-07,1.9e-07,8e-08,8e-08,2.1e-07,1.2,0.16,0.3,0.3,0.015,-0.015,26.478250983025696,9549.925860214496,92.30239996994224,5.245933980988659e-08,4820215708250.136,127786.1986704146,22.01093480243961,4.89462611492735,21.082036056165265,6.954047261913985e-08,-2.7384204398912296e-17,1.7068488945337272e-05,1.4524694413691794e-13
five_stage_amp_20250523_222102.raw,7.2e-07,7.2e-07,4.0200000000000005e-06,4.0200000000000005e-06,5.8e-06,1.5e-07,1.5e-07,1e-07,1e-07,1.2000000000000002e-07,1.2,0.53,0.96,0.96,0.043000000000000003,-0.043000000000000003,25.14336059236943,10471285.48050926,92.52305357183545,0.0003033057068034273,868046003739.4578,212199742.7546492,13.96893415205929,3.559735671414853,18.078734615212696,9.997593128425407e-11,-1.7287858934359612e-22,1.5483092659152063e-08,2.54016789077849e-19
five_stage_amp_20250523_222103.raw,2.06e-06,2.06e-06,2.7600000000000003e-06,2.7600000000000003e-06,4.05e-06,2.3e-07,2.3e-07,2.4000000000000003e-07,2.4000000000000003e-07,2.3e-07,1.2,0.78,0.76,0.76,0.034,-0.034,4.1061995199996275,75857757.50292052,127.63520468464273,0.0002589430788665647,1202917215668.2822,121050805.1394265,9.817411411680819,-17.47742540095276,1.604427622514324,-9.972522176652203e-10,1.372081057041753e-20,1.513670605076755e-09,-1.285525536843658e-18
five_stage_amp_20250523_222105.raw,5.33e-06,5.33e-06,1.84e-06,1.84e-06,3.52e-06,1.6e-07,1.6e-07,2.2e-07,2.2e-07,1.9e-07,1.2,1.12,0.5700000000000001,0.5700000000000001,0.041,-0.041,1.9537582125199053,144543977.0745971,143.1697989657436,0.0002442715688213787,1156106638371.3625,93027867.80331834,14.1484366778296,-19.62986670843243,1.252241678454315,-4.2202911518767055e-08,2.6309057629902353e-19,-3.256665891063897e-08,-3.8029968091478507e-17
five_stage_amp_20250523_222106.raw,4.6400000000000005e-06,4.6400000000000005e-06,4.57e-06,4.57e-06,3.7e-06,7e-08,7e-08,2e-07,2e-07,1.8e-07,1.2,0.28,0.85,0.85,0.038,-0.038,26.563136535884432,275422.8703338221,91.26458080658195,1.505273137972404e-06,4860310813516.048,1560232.49999276,21.35407015688765,4.979511615011202,21.289076931780745,9.44421327973411e-09,-1.1617189568097471e-18,5.826130566432477e-07,6.676436246036213e-16
five_stage_amp_20250523_222108.raw,5.06e-06,5.06e-06,1.94e-06,1.94e-06,9.2e-07,1.3e-07,1.3e-07,1.9e-07,1.9e-07,2.2e-07,1.2,0.05,0.07,0.07,0.029,-0.029,2.4638456926290293,10000.00000000014,319.3789358451336,9.808903258374437e-10,0,1878.347674535386,-0.3595393553308086,-19.11977920810531,-1.327982291585735,-6.519798358943817e-08,-6.951779960186985e-16,1.6474956979556937e-05,5.108321004229818e-13
five_stage_amp_20250523_222109.raw,4.13e-06,4.13e-06,4.89e-06,4.89e-06,2.55e-06,2e-07,2e-07,9e-08,9e-08,2.2e-07,1.2,0.22,0.89,0.89,0.05,-0.05,31.62194337234847,21877.61623949586,90.44311881646603,1.998753935105983e-07,3461220161703.528,268249.2141455518,27.04039338343849,10.0383184608415,38.11510928356008,7.181780953579727e-08,-5.674430197698189e-17,7.560916361632113e-06,4.2674550770711896e-14
five_stage_amp_20250523_222111.raw,5.12e-06,5.12e-06,2.7e-06,2.7e-06,2.6300000000000002e-06,1.9e-07,1.9e-07,1e-07,1e-07,1.1e-07,1.2,1.07,0.53,0.53,0.013000000000000001,-0.013000000000000001,37.54377425533109,6025595.860743725,88.23039896603794,0.0002069851510643046,1092946086163.1488,332171513.5295296,32.131764897166,15.96014933438122,75.36834061256832,-5.982659959133617e-08,8.448068807611393e-19,2.677352443039279e-08,-2.1440158721529263e-17
